file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,measure/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,measure/1[Benchmark],startTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,measure/1[Benchmark],endTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,measure/1[Benchmark],runTime,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,runBenchmark/0,e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,printResult/1[long],runTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,setNumIterations/1[int],numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,setInnerIterations/1[int],innerIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,Run/1[java.lang.String],name,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,getSuiteFromName/1[java.lang.String],e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,doRuns/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,doRuns/1[Benchmark],i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,processArguments/1[java.lang.String[]],args,5
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,processArguments/1[java.lang.String[]],run,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",rand,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",randBenchmarkId,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",benchmarks,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",benchmarksNbr,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,main/1[java.lang.String[]],args,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Harness.java,Harness,main/1[java.lang.String[]],run,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List$Element,setVal/1[java.lang.Object],v,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List$Element,setNext/1[List.Element],e,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List$Element,Element/1[java.lang.Object],v,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,makeList/1[int],e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,makeList/1[int],length,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,benchmark/0,result,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,verifyResult/1[java.lang.Object],result,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,"tail/3[List.Element,List.Element,List.Element]",x,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,"tail/3[List.Element,List.Element,List.Element]",y,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,"tail/3[List.Element,List.Element,List.Element]",z,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,"isShorterThan/2[List.Element,List.Element]",x,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,"isShorterThan/2[List.Element,List.Element]",y,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,"isShorterThan/2[List.Element,List.Element]",yTail,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List,"isShorterThan/2[List.Element,List.Element]",xTail,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Benchmark.java,Benchmark,verifyResult/1[java.lang.Object],result,0
